rel_filepath,abs_filepath,note_exists,n_backlinks,n_wikilinks,n_tags,n_embedded_files,modified_time
050 🛠 craft/50.01 ✏ design/portfolio/lunar tiger archetypes.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/portfolio/lunar tiger archetypes.md,True,1,0.0,0.0,0.0,2025-03-29 21:09:38.000000000
098 🌾 compost/🌾 dailies/2025-05-03_daily.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dailies/2025-05-03_daily.md,True,3,10.0,0.0,0.0,2025-05-03 17:56:11.105289221
050 🛠 craft/50.04 🎸 guitar/northlane - citizen.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.04 🎸 guitar/northlane - citizen.md,True,0,0.0,0.0,0.0,2025-04-26 19:14:52.000000000
050 🛠 craft/50.02 💜 dev/🌠 dev_origin.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/🌠 dev_origin.md,True,0,1.0,0.0,0.0,2024-08-24 17:10:06.000000000
050 🛠 craft/50.01 ✏ design/concepts/strategic foresight.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/concepts/strategic foresight.md,True,1,0.0,0.0,0.0,2025-04-27 14:21:20.000000000
060 🐆 business/60.02 🐆 job postings/job posts/palantir - data engineer.md,/home/leo/library/areas/obsidian/060 🐆 business/60.02 🐆 job postings/job posts/palantir - data engineer.md,True,0,0.0,0.0,0.0,2025-04-18 16:08:00.000000000
030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/serum.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/serum.md,True,0,0.0,0.0,0.0,2025-03-21 21:42:40.000000000
098 🌾 compost/🌾 dailies/2025-05-01_daily.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dailies/2025-05-01_daily.md,True,2,2.0,0.0,0.0,2025-05-03 10:02:20.520277023
060 🐆 business/60.01 🐆 career/pivot to design engineer.md,/home/leo/library/areas/obsidian/060 🐆 business/60.01 🐆 career/pivot to design engineer.md,True,1,2.0,0.0,0.0,2025-04-18 15:03:02.000000000
060 🐆 business/60.02 🐆 job postings/job posts/neuralink - UI Design Engineer.md,/home/leo/library/areas/obsidian/060 🐆 business/60.02 🐆 job postings/job posts/neuralink - UI Design Engineer.md,True,0,0.0,0.0,0.0,2025-04-18 16:02:48.000000000
030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/covers.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/covers.md,True,0,0.0,0.0,0.0,2025-04-07 17:16:46.000000000
098 🌾 compost/🌾 dailies/098.04 🌾 april dailies/2025-04-23_daily ⭐.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dailies/098.04 🌾 april dailies/2025-04-23_daily ⭐.md,True,2,8.0,0.0,0.0,2025-04-23 22:08:52.000000000
070 🌱 personal/70.01 🌱 notes/_archived/zorraquino-to-do.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.01 🌱 notes/_archived/zorraquino-to-do.md,True,0,0.0,0.0,0.0,2024-11-01 22:26:08.000000000
030 🚀 projects/30.00 🎸 inhaven/video edits.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/video edits.md,True,1,0.0,0.0,0.0,2024-08-26 15:00:20.000000000
098 🌾 compost/🌾 actions.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 actions.md,True,4,2.0,10.0,0.0,2025-05-06 19:38:18.288104534
070 🌱 personal/70.00 🌱 logs/📃 template.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.00 🌱 logs/📃 template.md,True,1,0.0,0.0,0.0,2024-08-26 18:48:26.000000000
050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/🚗 mechanics.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌾 core_concepts/🚗 mechanics.md,True,1,1.0,0.0,0.0,2024-09-05 11:25:56.000000000
070 🌱 personal/70.01 🌱 notes/2025_05_01-backup-before-linux.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.01 🌱 notes/2025_05_01-backup-before-linux.md,True,0,0.0,0.0,0.0,2025-05-01 10:12:00.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/tai chi chuan.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/tai chi chuan.md,True,2,2.0,0.0,0.0,2025-03-28 22:08:00.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/homeostasis.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/homeostasis.md,True,2,0.0,0.0,0.0,2025-04-26 17:02:16.000000000
070 🌱 personal/70.02 🌱 concepts/ciclos de interés.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.02 🌱 concepts/ciclos de interés.md,True,1,0.0,0.0,0.0,2025-04-23 19:29:50.000000000
020 ⭐ concepts/20.01 ⭐ economics & money/Personal Economic Strategy.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.01 ⭐ economics & money/Personal Economic Strategy.md,True,0,0.0,0.0,0.0,2024-10-02 14:21:12.000000000
070 🌱 personal/70.00 🌱 logs/000. aug 2024/004. aug 30 2024.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.00 🌱 logs/000. aug 2024/004. aug 30 2024.md,True,1,0.0,0.0,0.0,2024-08-31 11:40:00.000000000
